reference, api_endpoint
/go/src/istio.io/istio/samples/bookinfo/src/productpage/productpage.py,/login
/go/src/istio.io/istio/samples/bookinfo/src/productpage/productpage.py,/api/v1/products
/go/src/istio.io/istio/samples/bookinfo/src/productpage/productpage.py,/health
/go/src/istio.io/istio/samples/bookinfo/src/productpage/productpage.py,/logout
/go/src/istio.io/istio/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>
/go/src/istio.io/istio/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>/ratings
/go/src/istio.io/istio/samples/bookinfo/src/productpage/productpage.py,/api/v1/products/<product_id>/reviews
/go/src/istio.io/istio/samples/bookinfo/src/productpage/productpage.py,/productpage
/go/src/istio.io/istio/samples/bookinfo/src/productpage/productpage.py,/index.html
/go/src/istio.io/istio/samples/helloworld/src/app.py,/health
/go/src/istio.io/istio/samples/helloworld/src/app.py,/hello
/envoy/examples/cors/backend/service.py,/cors/<status>
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/helloworld/src/app.py,/health
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/samples/helloworld/src/app.py,/hello
/proxy/bazel-proxy/external/envoy/examples/csrf/samesite/service.py,/csrf/ignored
/proxy/bazel-proxy/external/envoy/examples/csrf/samesite/service.py,/
/proxy/bazel-proxy/external/envoy/examples/csrf/samesite/service.py,/csrf/<status>
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/helloworld/src/app.py,/health
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/samples/helloworld/src/app.py,/hello
/envoy/examples/front-proxy/service.py,/service/<service_number>
/envoy/examples/front-proxy/service.py,/trace/<service_number>
